,ACN_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
428.59160,19958.798,
428.62007,21190.756,
428.64854,22685.831,
428.67701,24537.006,
428.70548,26896.776,
428.73395,30043.531,
428.76242,33855.57,
428.79089,38840.441,
428.81936,44884.965,
428.84783,52496.356,
428.87630,60000.943,
428.90477,66822.634,
428.93324,71499.268,
428.96171,73805.155,
428.99018,73227.496,
429.01865,70048.796,
429.04712,64682.967,
429.07559,58557.829,
429.10406,52725.244,
429.13253,47152.063,
429.16100,42901.629,
429.18947,39488.72,
429.21794,36756.844,
429.24641,34814.536,
429.27488,33451.768,
429.30335,32311.29,
429.33182,31615.642,
429.36029,31241.623,
429.38876,30994.804,
429.41723,30928.381,
429.44570,30926.799,
429.47417,30925.037,
429.50265,31116.914,
429.53112,31393.544,
429.55959,31548.815,
429.58806,31676.895,
429.61653,31828.769,
429.64500,32009.82,
429.67347,32125.955,
429.70194,32214.528,
429.73041,32072.896,
429.75888,32048,
429.78735,32044.922,
429.81582,31975.877,
429.84429,31907.465,
429.87276,31972.495,
429.90123,32064.441,
429.92970,32222.845,
429.95817,32350.503,
429.98664,32525.37,
430.01511,32777.634,
430.04358,33087.786,
430.07205,33586.625,
430.10052,34085.189,
430.12899,34483.997,
430.15746,34940.707,
430.18593,35354.685,
430.21440,35664.685,
430.24287,35946.679,
430.27134,36049.354,
430.29981,36017.955,
430.32828,35943.441,
430.35675,35558.589,
430.38522,35032.009,
430.41369,34539.471,
430.44216,33802.147,
430.47063,32974.117,
430.49910,32115.326,
430.52757,31266.216,
430.55604,30237.712,
430.58451,29264.99,
430.61298,28333.467,
430.64145,27313.545,
430.66992,26474.774,
430.69839,25741.665,
430.72686,24940.017,
430.75533,24273.181,
430.78380,23665.449,
430.81227,23102.37,
430.84074,22519.355,
430.86921,21919.584,
430.89768,21588.605,
430.92615,21127.744,
430.95462,20705.727,
430.98309,20374.547,
431.01156,20071.841,
431.04003,19747.708,
431.06850,19416.257,
431.09697,19139.311,
431.12544,18948.254,
431.15391,18705.676,
431.18238,18487.801,
431.21085,18280.012,
431.23932,18118.161,
431.26779,17883.05,
431.29626,17889.328,
431.32473,17676.598,
431.35320,17495.284,
431.38167,17354.088,
431.41014,17149.945,
431.43861,17147.847,
431.46708,16961.645,
431.49555,16827.367,
431.52402,16700.503,
431.55249,16594.105,
431.58096,16450.225,
431.60943,16365.008,
431.63790,16090.466,
431.66637,16053.26,
431.69484,15918.049,
431.72331,15855.809,
431.75178,15649.359,
431.78025,15555.815,
431.80872,15415.74,
431.83719,15276.957,
431.86566,15148.946,
431.89413,14977.904,
431.92260,14819.699,
431.95107,14767.82,
431.97954,14695.314,
432.00801,14516.003,
432.03648,14403.277,
432.06495,14286.701,
432.09342,14084.917,
432.12189,13904.396,
432.15036,13813.261,
432.17883,13769.761,
432.20730,13667.067,
432.23577,13506.248,
432.26424,13381.188,
432.29271,13233.626,
432.32118,13076.459,
432.34965,12984.66,
432.37812,12821.245,
432.40659,12671.876,
432.43506,12505.305,
432.46353,12336.86,
432.49200,12216.491,
432.52047,12084.998,
432.54894,11944.299,
432.57741,11831.243,
432.60588,11695.713,
432.63435,11584.895,
432.66282,11431.036,
432.69129,11281.041,
432.71976,11195.586,
432.74823,11113.208,
432.77670,11026.077,
432.80518,10901.981,
432.83365,10771.06,
432.86212,10675.915,
432.89059,10548.082,
432.91906,10450.654,
432.94753,10377.475,
432.97600,10290.398,
433.00447,10225.083,
433.03294,10128.882,
433.06141,10073.041,
433.08988,9965.7302,
433.11835,9834.277,
433.14682,9787.188,
433.17529,9693.6597,
433.20376,9646.9808,
433.23223,9572.4439,
