,FeF20+Zn(Hg)_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
428.47772,22186.924,
428.50619,21489.012,
428.53466,20882.496,
428.56313,20489.625,
428.59160,20211.923,
428.62007,19958,
428.64854,19828.074,
428.67701,19848.373,
428.70548,19908.713,
428.73395,20213.21,
428.76242,20717.559,
428.79089,21570.336,
428.81936,22382.52,
428.84783,23110.088,
428.87630,23694.234,
428.90477,23666.145,
428.93324,23198.176,
428.96171,22406.656,
428.99018,21585.582,
429.01865,20583.448,
429.04712,19645.799,
429.07559,18756.374,
429.10406,18194.249,
429.13253,17776.337,
429.16100,17356.84,
429.18947,17089.06,
429.21794,16853.16,
429.24641,16770.172,
429.27488,16671.762,
429.30335,16677.815,
429.33182,16719.162,
429.36029,16771.192,
429.38876,16870.118,
429.41723,17017.42,
429.44570,17177.236,
429.47417,17402.558,
429.50265,19172.665,
429.53112,21128.52,
429.55959,18892.251,
429.58806,18189.199,
429.61653,18437.082,
429.64500,18687.261,
429.67347,18865.348,
429.70194,18978.942,
429.73041,18983.897,
429.75888,18936.328,
429.78735,18912.625,
429.81582,18790.446,
429.84429,18693.955,
429.87276,18698.767,
429.90123,18657.972,
429.92970,18634.117,
429.95817,18586.987,
429.98664,18554.192,
430.01511,18580.75,
430.04358,18669.048,
430.07205,18814.674,
430.10052,18951.725,
430.12899,19003.061,
430.15746,19144.319,
430.18593,19312.682,
430.21440,19359.849,
430.24287,19492.245,
430.27134,19621.393,
430.29981,19658.798,
430.32828,19659.229,
430.35675,19681.918,
430.38522,19641.443,
430.41369,19623.882,
430.44216,19474.381,
430.47063,19320.99,
430.49910,19166.619,
430.52757,19062.672,
430.55604,18895.338,
430.58451,18852.95,
430.61298,18875.928,
430.64145,18755.746,
430.66992,18578.8,
430.69839,18389.049,
430.72686,18214.637,
430.75533,17918.252,
430.78380,17678.904,
430.81227,17417.851,
430.84074,17268.036,
430.86921,17214.331,
430.89768,17152.798,
430.92615,17198.097,
430.95462,17227.942,
430.98309,17300.863,
431.01156,17119.119,
431.04003,17087.92,
431.06850,17073.201,
431.09697,16876.295,
431.12544,16945.069,
431.15391,16951.912,
431.18238,16762.229,
431.21085,16692.272,
431.23932,16624.489,
431.26779,16435.045,
431.29626,16442.573,
431.32473,16361.343,
431.35320,16335.597,
431.38167,16242.971,
431.41014,16366.375,
431.43861,16403.459,
431.46708,16294.929,
431.49555,16325.348,
431.52402,16496.874,
431.55249,16424.663,
431.58096,16418.955,
431.60943,16549.177,
431.63790,16516.807,
431.66637,16525.136,
431.69484,16604.922,
431.72331,16704.66,
431.75178,16826.029,
431.78025,16861.909,
431.80872,16967.516,
431.83719,17163.719,
431.86566,17331.406,
431.89413,17702.96,
431.92260,18038.552,
431.95107,18408.063,
431.97954,18937.51,
432.00801,19286.718,
432.03648,19675.614,
432.06495,19964.66,
432.09342,20066.723,
432.12189,19943.728,
432.15036,19653.323,
432.17883,19238.427,
432.20730,18702.622,
432.23577,18090.509,
432.26424,17561.831,
432.29271,17112.204,
432.32118,16840.72,
432.34965,16592.151,
432.37812,16474.911,
432.40659,16353.842,
432.43506,16229.807,
432.46353,16204.917,
432.49200,16106.978,
432.52047,15985.388,
432.54894,15837.922,
432.57741,15695.93,
432.60588,15559.202,
432.63435,15370.221,
432.66282,15232.085,
432.69129,15138.898,
432.71976,15084.326,
432.74823,15048.353,
432.77670,14990.142,
432.80518,14930.681,
